px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
4.45384	-10.0098	-2.73908	-1.74127	-1.01077	4.54925	-10.0439	4.55	-10.05	0.908954	2.72685	0.592769
4.48562	-9.86505	-2.73784	-1.79585	-1.00767	4.63224	-9.9707	4.6	-9.9	0.909756	2.72927	0.403955
4.55109	-9.72052	-2.73695	-1.87148	-1.02872	4.63755	-9.74952	4.65	-9.75	0.909752	2.72926	0.477668
4.56032	-9.5707	-2.74412	-1.88311	-0.963347	4.60757	-9.4335	4.7	-9.6	0.90859	2.72578	1.98033
4.64167	-9.43082	-2.74531	-1.95823	-0.985255	4.74589	-9.4609	4.75	-9.45	0.908586	2.72576	0.67046
4.71695	-9.29677	-2.74437	-2.02451	-0.999499	4.89179	-9.39473	4.85	-9.3	1.81967	2.72952	0.478484
4.82191	-9.15994	-2.75415	-2.10273	-1.01989	4.94849	-9.13867	4.95	-9.15	1.81967	2.72951	0.933957
4.90289	-9.04213	-2.75745	-2.16171	-1.03012	4.95209	-8.96272	5	-9.05	0.999884	1.99977	0.133998
4.99405	-8.9326	-2.75861	-2.22098	-1.03722	5.04121	-8.94979	5.05	-8.95	0.999874	1.99974	0.138189
5.06353	-8.80692	-2.7522	-2.24146	-0.979987	5.20806	-8.88942	5.15	-8.8	1.81805	2.72708	1.75155
5.17969	-8.68511	-2.76397	-2.30465	-0.985275	5.26887	-8.63564	5.25	-8.65	1.81803	2.72705	0.551072
5.27779	-8.58409	-2.76569	-2.35433	-0.983743	5.3785	-8.56768	5.35	-8.55	1.99956	1.99957	0.121895
5.38869	-8.48151	-2.77593	-2.40688	-0.983791	5.44864	-8.42738	5.45	-8.45	1.99954	1.99954	0.336734
5.4779	-8.36865	-2.76531	-2.42059	-0.919376	5.56465	-8.44845	5.5	-8.35	0.909045	1.81807	2.06925
5.58532	-8.2667	-2.76378	-2.46506	-0.914215	5.53862	-8.24357	5.55	-8.25	0.909045	1.81808	0.14449
5.66472	-8.1422	-2.7513	-2.45208	-0.815529	5.64921	-8.02513	5.7	-8.1	2.72608	2.72608	4.28204
5.79227	-8.03611	-2.76469	-2.49528	-0.810276	5.85094	-7.95601	5.85	-7.95	2.72606	2.72606	0.505906
5.88901	-7.9213	-2.75667	-2.49381	-0.736368	5.93492	-7.84119	5.95	-7.85	1.81801	1.81801	2.48657
6.01722	-7.81824	-2.76911	-2.53002	-0.729275	6.05986	-7.73559	6.05	-7.75	1.81802	1.81801	0.447224
6.11279	-7.70148	-2.7582	-2.51545	-0.640917	6.13741	-7.63243	6.15	-7.65	1.81798	1.81798	3.52979
6.23889	-7.6037	-2.76609	-2.54602	-0.634813	6.25659	-7.54336	6.25	-7.55	1.81798	1.81798	0.207193
6.34385	-7.49518	-2.75785	-2.53803	-0.564258	6.39143	-7.46358	6.35	-7.45	1.82027	1.82027	2.30677
6.46663	-7.40324	-2.7603	-2.56409	-0.559191	6.452	-7.36418	6.45	-7.35	1.82025	1.82025	0.0932518
6.582	-7.32238	-2.76473	-2.59164	-0.562978	6.47916	-7.09783	6.6	-7.25	2.99862	1.99908	0.756063
